id,idiom,en_meaning
3861,when the chips are down,when a situation becomes difficult or challenging; when one is facing adversity or a crisis
3862,when the smell or sight of food is extremely good it makes your mouth water,something that is very appealing or enticing
3863,where there's muck there's brass,there is money to be made in dirty or unpleasant situations
3864,whet _ appetite,to stimulate or increase someone's desire or interest in something
3865,whet one's appetite,to stimulate or increase one's interest or desire for something
3866,whet one's appetite,to stimulate or increase one's desire or interest in something
3867,whipper snapper,"a young, impertinent or disrespectful person"
3868,whistle Dixie,to engage in idle or foolish talk
3869,whistle and flute,"Cockney rhyming slang for a suit (as in a jacket and trousers), typically used in reference to formal or smart attire."
3870,whistle in the dark,to remain optimistic or hopeful in a difficult or uncertain situation
3871,white as a sheet,"extremely pale, usually due to fear, shock, or illness"
3872,white elephant,an expensive or burdensome possession or project that is more trouble than it is worth
3873,white hat,"someone who is virtuous, ethical, or moral; typically used to refer to a person of integrity or good character, especially in the context of computer hacking and cybersecurity"
3874,white lie,"a harmless or trivial lie, especially one told to avoid hurting someone's feelings"
3875,whiter than white,morally pure; completely innocent or blameless
3876,who pays the piper calls the tune,the person who provides the money for something gets to make the decisions and control how it is done
3877,whole nine yards,doing something to the fullest extent or degree; giving one's all
3878,whoop it up,to have a lively and enjoyable time; to celebrate or party
3879,wide of the mark,incorrect or inaccurate; not hitting the intended target or goal
3880,wild and woolly,chaotic or unruly
3881,wild goose chase,fruitless or futile activity; a pointless pursuit
3882,wild-goose chase,a futile or fruitless pursuit or search
3883,win the day,to emerge as the victor or to achieve success or triumph in a particular situation or event
3884,wind someone up,to deliberately provoke or irritate someone
3885,wind up,"to finish or conclude something, often unexpectedly or in a way that was not planned"
3886,wine and dine,"to entertain someone with lavish food and drink, typically in order to establish or maintain a relationship or gain favor"
3887,winter drawers on,This is not a commonly used English idiomatic phrase. There is no figurative meaning associated with it.
3888,wipe someone's eye,to deceive or trick someone
