idiom,en_meaning
the elephant in the room,an obvious problem or difficult situation that people do not want to talk about
the eleventh hour,referring to the last possible moment or opportunity before something is too late
the empty chair,"an absent or missing person, especially someone who is expected or should be present"
the fog of war,the confusion and uncertainty that arises during a war or a chaotic situation
the glorious twelfth,the day (usually 12th of August) on which the shooting season for grouse begins in the UK
the grass is always greener,the belief that other people's situation or possessions are always better than one's own
the heebie-jeebies,"a feeling of uneasiness, anxiety, or nervousness"
the holy grail,the ultimate goal or prize that is highly sought after or coveted
the home straight,The final stretch or last part of a journey or task
the home stretch,the final part of a race or journey; the last remaining part of something
the icing on the cake,an additional pleasant or desirable feature or event that enhances an already good situation
the joke is on someone,to be the target or subject of a joke or prank
the jury is out,the judgment or decision is still pending; it is unclear or undecided
the last straw,the final event or action that makes a situation unbearable or brings forth a decisive change
the last thing I want,something that I absolutely do not want or desire
the late unpleasantness,"referring to a difficult or unpleasant event in the past, often used euphemistically"
the letter of the law,"adherence to strict, literal interpretation of the law, rather than considering the spirit or intent of the law"
the lion's den,"a place or situation filled with danger, hostility, or intense scrutiny"
the long arm of the law,"The power and authority of the police or legal system to catch and punish criminals, even if they try to hide or escape"
